datetime,open,high,low,close,volume
2010-11-25,25.5,26.5,23.85,24.09,26690
2010-11-26,24.09,24.29,22.9,23.96,7145
2010-11-29,24.63,24.63,23.51,23.89,1388
2010-11-30,23.88,24.09,23.3,23.62,1474
2010-12-01,23.63,23.9,22.93,23.1,2278
2010-12-02,23.23,23.24,22.01,22.34,2911
2010-12-03,22.39,22.43,21.0,21.68,4216
2010-12-06,21.5,22.32,21.1,21.86,1541
2010-12-07,22.0,24.29,21.52,23.4,9744
2010-12-08,23.25,23.9,23.0,23.49,1909
2010-12-09,23.41,23.95,23.38,23.56,724
2010-12-10,23.59,23.79,23.35,23.5,668
2010-12-13,23.51,24.55,23.47,23.87,3636
2010-12-14,23.92,23.92,23.53,23.8,289
2010-12-15,23.78,24.08,23.56,23.7,219
2010-12-16,23.77,24.15,23.53,24.08,2496
2010-12-17,24.02,24.25,23.96,24.15,2199
2010-12-20,24.1,24.15,23.71,23.97,698
2010-12-21,24.0,24.1,23.78,23.94,381
2010-12-22,23.96,24.24,23.82,23.98,859
2010-12-23,23.9,24.09,23.57,23.75,762
2010-12-24,23.62,23.95,23.6,23.9,433
2010-12-27,23.96,24.08,23.33,23.57,285
2010-12-28,23.59,23.84,23.0,23.14,398
2010-12-29,23.08,23.28,22.96,23.18,481
2010-12-30,23.05,23.38,23.0,23.25,371
2011-01-11,23.72,23.72,22.69,23.14,1567
2011-01-12,23.14,23.16,22.7,23.0,802
2011-01-13,22.87,22.98,22.4,22.5,740
2011-01-14,22.51,23.13,22.14,23.11,1563
2011-01-17,23.74,23.74,22.63,23.0,1210
2011-01-18,23.05,24.06,22.7,23.74,2666
2011-01-19,23.78,24.1,23.28,23.35,711
2011-01-20,23.37,23.74,23.2,23.65,846
2011-01-21,23.26,24.01,23.26,23.89,1942
2011-01-24,24.0,24.0,23.5,23.78,505
2011-01-25,23.83,23.83,23.5,23.7,148
2011-01-26,23.76,23.8,23.2,23.45,276
2011-01-27,23.59,23.74,23.01,23.5,236
2011-01-28,23.41,23.98,23.18,23.79,828
2011-01-31,23.68,23.7,23.5,23.64,285
2011-02-01,23.68,23.85,23.51,23.59,199
2011-02-02,23.6,23.75,23.18,23.39,203
2011-02-03,23.36,23.61,23.0,23.13,794
2011-02-04,23.14,23.54,23.14,23.29,67
2011-02-07,23.32,23.61,22.0,23.36,240
2011-02-08,23.18,23.32,22.61,23.15,348
2011-02-09,23.14,23.43,22.96,23.28,598
2011-02-10,23.32,23.45,22.66,22.87,303
2011-02-11,22.96,23.35,22.6,23.0,314
2011-02-14,23.0,23.35,22.75,22.93,468
2011-02-15,22.98,23.12,22.69,22.79,237
2011-02-16,22.95,22.95,22.0,22.7,560
