datetime,open,high,low,close,volume
2020-11-24,2674.5,3192.5,2674.5,3033.0,1751752
2020-11-25,3150.5,3282.0,2888.0,2954.0,1283364
2020-11-26,3000.0,3002.0,2900.5,2944.0,193930
2020-11-27,2965.5,3082.0,2913.0,3025.0,336183
2020-11-30,2999.5,3140.0,2967.5,3071.0,210016
2020-12-01,3049.5,3097.0,3000.5,3059.5,150435
2020-12-02,3031.0,3230.0,3003.0,3184.0,264174
2020-12-03,3129.0,3649.0,3085.5,3614.5,912222
2020-12-04,3589.5,3984.0,3428.5,3556.0,1102780
2020-12-07,3567.0,3675.0,3351.5,3422.0,404566
2020-12-08,3429.5,3495.0,3260.0,3471.0,320172
2020-12-09,3513.5,3600.0,3300.0,3301.0,450251
2020-12-10,3348.5,3380.0,3267.5,3294.0,230363
2020-12-11,3308.0,3340.0,3106.0,3164.5,249622
2020-12-14,3195.0,3238.0,3012.5,3069.0,315620
2020-12-15,3070.0,3208.5,3040.5,3201.0,186167
2020-12-16,3221.5,3369.0,3168.0,3357.0,270328
2020-12-17,3342.0,3398.5,3181.5,3211.5,247796
2020-12-18,3209.5,3296.0,3119.5,3264.5,275222
2020-12-21,3288.0,3346.5,3178.0,3264.0,335682
2020-12-22,3292.5,3415.0,3209.0,3231.0,424425
2020-12-23,3258.0,3270.0,3131.0,3222.0,318615
2020-12-24,3220.0,3243.0,3108.0,3149.0,193810
2020-12-25,3149.0,3164.0,3130.0,3150.5,44906
2020-12-28,3167.0,3290.5,3142.5,3290.0,275998
2020-12-29,3293.0,3327.5,3170.0,3232.0,208618
2020-12-30,3225.0,3348.0,3202.0,3289.5,220585
2021-01-04,3260.0,3278.0,2996.0,3229.5,363260
2021-01-05,3238.0,3380.5,3209.5,3348.5,281378
2021-01-06,3325.5,3369.5,3220.0,3257.0,156673
2021-01-08,3321.5,3500.0,3270.0,3376.5,414740
2021-01-11,3370.0,3426.0,3330.0,3382.0,143894
2021-01-12,3375.0,3572.0,3345.0,3530.5,316286
2021-01-13,3502.5,3600.0,3460.0,3491.0,191767
2021-01-14,3526.0,3696.0,3460.5,3636.5,286321
2021-01-15,3620.0,4002.5,3485.0,3805.5,423574
2021-01-18,3815.5,3839.5,3722.5,3795.0,125851
2021-01-19,3840.5,4150.0,3814.5,3972.0,526262
2021-01-20,3955.0,4190.0,3948.0,4001.0,460938
2021-01-21,4025.0,4199.0,3872.5,4057.0,416659
2021-01-22,4069.0,4165.0,3850.0,3980.0,472503
2021-01-25,3999.0,4189.0,3930.0,4014.5,366963
2021-01-26,4028.0,4089.0,3900.0,3901.0,271592
2021-01-27,3929.0,3952.0,3532.5,3560.5,639169
2021-01-28,3580.0,3881.5,3512.5,3846.0,595436
2021-01-29,3815.5,3869.0,3568.0,3662.0,321321
2021-02-01,3700.5,3877.0,3678.0,3867.5,267088
2021-02-02,3877.5,4045.0,3877.5,4016.0,343149
2021-02-03,4004.0,4064.0,3978.0,4023.0,183538
2021-02-04,4034.0,4186.5,3991.5,4185.5,336112
2021-02-05,4200.5,4667.0,4190.0,4650.0,562135
2021-02-08,4684.0,5086.5,4680.0,4969.0,866125
2021-02-09,5001.5,5181.0,4650.0,4665.0,741013
2021-02-10,4655.0,4977.5,4642.5,4883.0,585252
2021-02-11,4928.5,4962.0,4700.0,4726.5,283167
2021-02-12,4755.0,4821.0,4536.0,4753.0,305211
2021-02-15,4795.0,4891.0,4676.0,4739.0,229807
2021-02-16,4764.0,4844.0,4654.0,4765.0,318438
2021-02-17,4760.0,4847.0,4400.0,4420.0,1180079
2021-02-18,4508.0,4657.0,4486.5,4573.5,718992
2021-02-19,4574.5,4949.0,4492.0,4884.5,468405
2021-02-20,4840.5,4932.0,4770.0,4864.0,89950
2021-02-22,4884.0,5022.0,4755.5,4938.0,306409
2021-02-24,4772.0,4818.0,4512.5,4557.5,512771
2021-02-25,4570.0,4697.5,4275.0,4330.0,439410
2021-02-26,4346.0,4525.0,4200.0,4480.0,408344
2021-03-01,4468.5,4739.0,4444.5,4703.5,238418
2021-03-02,4690.0,4811.0,4602.0,4602.0,307485
2021-03-03,4640.0,4736.0,4482.0,4490.5,336260
2021-03-04,4496.0,4543.5,4079.5,4226.5,536216
2021-03-05,4209.5,4290.0,3882.0,4073.0,568128
2021-03-09,3911.0,3948.5,3743.0,3831.0,676147
2021-03-10,3885.0,4023.0,3824.0,3844.0,581632
2021-03-11,3865.0,4085.0,3851.0,4064.0,360335
2021-03-12,4065.0,4155.0,3960.5,4114.0,523845
2021-03-15,4177.0,4266.0,4144.5,4201.0,356516
2021-03-16,4226.0,4258.0,4060.0,4147.5,283787
2021-03-17,4147.5,4219.0,3981.0,4170.0,283831
2021-03-18,4173.0,4328.0,4130.5,4179.0,449803
2021-03-19,4200.5,4279.5,4137.0,4217.0,271861
2021-03-22,4217.0,4265.0,4150.0,4175.0,144867
2021-03-23,4181.5,4185.0,4061.5,4086.0,212761
2021-03-24,4100.5,4140.0,3900.0,3953.0,305914
2021-03-25,3994.0,4035.0,3812.5,3955.0,364947
2021-03-26,3965.0,4034.5,3850.0,3958.0,271149
2021-03-29,3960.0,4059.5,3925.0,4006.0,282823
2021-03-30,4001.5,4128.5,3925.5,4011.0,438437
2021-03-31,4025.0,4322.5,3993.0,4235.0,477798
2021-04-01,4262.0,4498.5,4257.5,4435.0,524618
2021-04-02,4445.0,4447.0,4366.5,4387.5,53569
2021-04-05,4408.5,4433.0,4263.5,4395.0,166473
2021-04-06,4375.0,4500.0,4276.5,4474.0,326935
2021-04-07,4484.5,4600.0,4435.0,4567.0,388436
2021-04-08,4592.5,4600.0,4450.0,4490.0,162927
2021-04-09,4501.0,4697.0,4438.0,4650.5,349903
2021-04-12,4675.0,4799.5,4655.5,4724.0,295546
2021-04-13,4729.5,4853.0,4667.0,4739.0,299853
2021-04-14,4739.5,4801.0,4602.5,4751.0,278729
2021-04-15,4759.5,4780.0,4600.5,4730.5,300448
2021-04-16,4705.0,4824.5,4673.0,4760.0,159443
2021-04-19,4772.0,4798.5,4529.5,4659.0,214241
2021-04-20,4652.0,4685.0,4467.5,4605.0,199294
2021-04-21,4593.0,4700.0,4502.0,4671.0,168232
2021-04-22,4660.5,4832.5,4652.0,4702.0,263364
2021-04-23,4730.0,4920.0,4691.0,4860.0,270570
2021-04-26,4857.5,5073.0,4857.5,4979.0,255716
2021-04-27,5003.0,5094.5,4852.0,4902.0,269015
2021-04-28,4917.0,4955.0,4750.0,4807.0,161678
2021-04-29,4824.5,4847.0,4620.0,4671.0,161434
2021-04-30,4656.5,4739.5,4543.0,4669.5,134787
2021-05-04,4590.0,4672.5,4463.0,4522.0,367364
2021-05-05,4505.0,4648.0,4390.0,4444.0,434158
2021-05-06,4444.0,4497.5,4294.0,4397.0,376958
2021-05-07,4408.0,4473.0,4253.5,4282.5,457758
2021-05-10,4295.0,4304.5,3982.0,4019.5,733610
2021-05-11,4021.5,4199.0,3926.0,4197.0,693842
2021-05-12,4207.5,4340.0,4006.5,4080.0,1102923
2021-05-13,4076.5,4129.5,3900.0,4011.0,614878
2021-05-14,4030.0,4148.0,3985.5,4136.0,395650
