datetime,open,high,low,close,volume
2006-07-28 15:30:00,4.0,4.0,4.0,4.0,7
2006-07-31 14:00:00,3.0,3.0,3.0,3.0,5
2006-08-01 13:00:00,5.0,5.0,5.0,5.0,15
2006-12-06 14:30:00,6.0,6.0,6.0,6.0,5
2006-12-13 13:30:00,8.0,8.0,8.0,8.0,150
2006-12-13 16:30:00,8.0,8.0,8.0,8.0,8
2006-12-13 17:30:00,8.0,8.0,8.0,8.0,65
2006-12-13 18:30:00,8.0,8.0,8.0,8.0,50
2006-12-27 17:00:00,6.1,6.1,6.1,6.1,15
2006-12-27 18:00:00,6.1,6.1,6.1,6.1,10
2006-12-28 13:00:00,6.0,6.0,6.0,6.0,5
2006-12-28 14:30:00,7.4,7.8,7.4,7.8,191
2006-12-28 15:30:00,6.4,6.8,6.4,6.8,8
2007-01-18 11:00:00,8.0,8.0,8.0,8.0,1
2007-02-15 12:30:00,10.0,10.0,10.0,10.0,1
2007-02-15 13:00:00,10.0,10.0,10.0,10.0,1
2007-02-15 14:00:00,7.6,10.0,5.8,5.8,227
2007-02-15 18:00:00,9.2,9.2,5.8,5.8,20
2007-02-19 16:00:00,8.1,8.1,8.1,8.1,16
2007-02-20 12:00:00,7.5,7.5,7.5,7.5,2
2007-02-20 12:30:00,7.9,14.9,7.9,14.9,5
2007-02-21 10:30:00,7.0,8.0,7.0,8.0,13
2007-02-21 11:30:00,8.4,8.4,8.4,8.4,1
2007-02-21 13:00:00,8.4,8.8,8.4,8.8,19
2007-02-21 13:30:00,9.0,9.0,9.0,9.0,5
2007-02-21 15:30:00,8.8,8.8,8.8,8.8,16
2007-02-21 18:30:00,8.8,8.8,8.8,8.8,4
2007-02-22 16:00:00,9.5,9.9,9.5,9.9,7
2007-02-22 18:00:00,9.9,9.9,9.9,9.9,1
2007-02-26 13:30:00,9.8,10.0,9.8,10.0,20
2007-03-09 14:30:00,7.5,7.5,7.5,7.5,1
2007-03-09 16:30:00,7.1,7.1,7.1,7.1,2
2007-03-09 17:30:00,7.3,7.3,7.3,7.3,1
2007-03-12 17:30:00,7.0,7.2,7.0,7.2,4
2007-03-12 18:30:00,7.2,7.2,7.0,7.0,4
2007-03-13 13:00:00,20.0,20.0,20.0,20.0,1
2007-03-13 15:00:00,10.0,10.0,10.0,10.0,1
2007-03-13 18:30:00,11.0,11.0,11.0,11.0,3
2007-03-14 16:30:00,8.0,8.0,8.0,8.0,2
2007-03-14 17:00:00,7.0,7.0,7.0,7.0,3
2007-03-16 11:00:00,8.0,9.0,8.0,9.0,12
2007-03-19 18:00:00,8.1,8.1,8.1,8.1,1
